common_name,additional_names,latin_name,family,polish_name
Lady-of-the-night,"Yesterday, Today, Tomorrow, Kiss-Me-Quick, Morning-Noon-and-Night, Fransiscan Rain Tree","Brunfelsia species","Solanaceae","Brunfelsja"
Lambkill,"Sheep Laurel","Kalmia augustifolia","Ericaceae","Kalmia wąskolistna"
Lantana,"Shrub Verbena, Yellow Sage, Red Sage","Lantana camara","Verbenaceae","Lantana pospolita"
Larkspur,"","Delphinium species","Ranunculaceae","Ostróżka"
Laurel,"Mountain laurel, Spoonwood, Mountain Ivy, Calico Bush, Ivy Bush","Kalmia latifolia","Ericaceae","Kalmia szerokolistna"
Lavender,"Common Lavender, English Lavender","Lavendula angustifolia","Lamiaceae","Lawenda wąskolistna"
Leatherflower,"Clematis, Virgin's Bower","Clematis sp.","Ranunculaceae","Powojnik"
Leek,"Elephant Garlic","Allium ampeloprasum","Liliaceae","Por"
Lemon,"","Citrus limonia","Rutaceae","Cytryna"
Lemon Grass,"Oil Grass","Cymbopogon citratus","Poaceae","Trawa cytrynowa (Palczatka cytrynowa)"
Lemon Verbena,"Lemon Beebrush","Aloysia triphylla","Verbenaceae","Lippia trójlistna (Werbena cytrynowa)"
Lenten Rose,"Hellebore, Christmas Rose, Easter Rose","Helleborus niger","Ranunculaceae","Ciemiernik biały"
Lily,"","Lilium species","Liliaceae","Lilia"
Lily of the Palace,"Amaryllis, Fire Lily, Barbados Lily, Ridderstjerne","Hippeastrum spp.","Amaryllidaceae","Zwartnica"
Lily of the Valley,"","Convallaria majalis","Asparagaceae","Konwalia majowa"
Lily-of-the-Valley Bush,"Andromeda Japonica, Pieris","Pieris japonica","Ericaceae","Pieris japoński"
Lime,"","Citrus aurantifolia","Rutaceae","Limonka"
Lobelia,"Cardinal Flower, Indian Pink","Lobelia cardinalis","Campanulaceae","Lobelia"
Locust,"","Robinia spp.","Mimosaceae","Robinia (Akacja)"
Lord-and-Ladies,"Arum, Wake Robin, Adam-and-Eve, Starch Root, Bobbins, Cuckoo Plant","Arum maculatum","Araceae","Obrazkowiec plamisty"
Lovage,"Maggi plant, Smellage","Levisticum officinale","Apiaceae","Lubczyk ogrodowy"
Madagascar Dragon Tree,"","Dracaena marginata","Asparagaceae","Dracena obrzeżona"
Maidens Breath,"Baby's Breath","Gypsophila elegans","Caryophyllaceae","Gipsówka wytworna (Łyszczec wytworny)"
Malanga,"Caladium, Elephant's Ears","Colocasia esculenta","Araceae","Kolokazja jadalna (Taro)"
Maleberry,"Staggerbush, Fetterbush","Lyonia sp.","Ericaceae","Lyonia"
Mapleleaf Begonia,"","Begonia cleopatra","Begoniaceae","Begonia klonolistna"
Marble Queen,"Golden Pothos","Scindapsus aureus","Araceae","Epipremnum złociste 'Marble Queen'"
Marijuana,"Indian Hemp, Hashish","Cannabis sativa","Cannabaceae","Konopie siewne (Marihuana)"
Marjoram,"Knotted Marjoram, Pot Marjoram","Origanum majorana","Lamiaceae","Majeranek ogrodowy"
Mauna Loa Peace Lily,"Peace Lily","Spathiphyllum","Araceae","Skrzydłokwiat 'Mauna Loa'"
Mayapple,"Indian Apple Root, Umbrella Leaf, Wild Lemon, Hog Apple, Duck's Foot, Raccoonberry, American Mandrake","Podophyllum peltatum","Berberidaceae","Stopowiec tarczowaty"
Mayweed,"Poison Daisy, Stinking Chamomile","Anthemis cotula","Asteraceae","Rumian polny (Maruna bezwonna)"
Meadow Saffron,"Autumn Crocus","Colchicum autumnale","Liliaceae","Zimowit jesienny"
Medicine Plant,"Aloe, True Aloe, Barbados Aloe","","Aloaceae","Aloes leczniczy"
Metallic Leaf Begonia,"","Begonia metallica","Begoniaceae","Begonia metaliczna"
Mexican Breadfruit,"Cutleaf Philodendron, Hurricane Plant, Swiss Cheese Plant, Ceriman, Split-leaf Philodendron, Window Leaf Plant","Monstera deliciosa","Araceae","Monstera dziurawa"
Milfoil,"Yarrow","Achillea millefolium","Asteraceae","Krwawnik pospolity"
Milkweed,"","Asclepias species","Asclepiadaceae","Trojeść"
Mint,"Garden Mint","Mentha sp.","Lamiaceae","Mięta"
Mistletoe ""American""","American Mistletoe","Phoradendron flavescens","Viscaceae","Jemioła amerykańska"
Mock Azalea,"Desert Rose, Desert Azalea, Sabi Star, Impala Lily, Kudu Lily","Adenium obesum","Apocynaceae","Adenium opasłe (Róża pustyni)"
Mole Bean Plant,"","Ricinus communis","Euphobiaceae","Rącznik pospolity"
Morning Glory,"","Ipomoea spp","Convolvulaceae","Wilec"
Morning-Noon-and-Night,"Yesterday, Today, Tomorrow, Kiss-Me-Quick, Lady-of-the-Night, Fransiscan Rain Tree","Brunfelsia species","Solanaceae","Brunfelsja"
Moss Rose,"Wild Portulaca, Rock Moss, Purslane, Pigwee, Pusley","Portulaca oleracea","Portulacaceae","Portulaka pospolita"
Mother of Millions,"Mother-In-Law-Plant, Kalanchoe, Devils Backbone, Chandelier Plant","Kalanchoe tubiflora","Crassulaceae","Żyworódka rurkowa (Kalanchoe rurkowate)"
Mother-in-Law,"","Monstera deliciosa","Araceae","Monstera dziurawa"
Mother-In-Law Plant,"Mother of Millions, Kalanchoe, Devils Backbone, Chandelier Plant","Kalanchoe tubiflora","Crassulaceae","Żyworódka rurkowa (Kalanchoe rurkowate)"
Mother-in-Law’s Tongue,"Snake Plant, Golden Bird's Nest, Good Luck Plant","Sansevieria trifasciata","Agavaceae","Sansewieria gwinejska (Język teściowej)"
Mum,"Chrysanthemum, Daisy","Chrysanthemum spp.","Compositae","Chryzantema (Złocień)"
Naked Lady,"","Amaryllis spp.","Amaryllidaceae","Amarylis (Goździk nagi)"
Nandina,"Sacred Bamboo, Heavenly Bamboo","Nandina domestica","Berberidaceae","Nandina domowa"
Narcissus,"Daffodil, Jonquil, Paper White","Narcissus spp","Amaryllidaceae","Narcyz"
Nasturtium (Watercress),"Watercress, Brunnenkress","Nasturtium officinale","Brassicaceae","Rukiew wodna"
Needlepoint Ivy,"Branching Ivy, Glacier Ivy, English Ivy, Sweetheart Ivy, California Ivy","Hedera helix","Araliaceae","Bluszcz pospolity"
Nephthytis,"Arrow-Head Vine, Green Gold Naphthysis, African Evergreen, Trileaf Wonder","Syngonium podophyllum","Araceae","Zroślicha stopowcowa"
Nicotiana,"Tree Tobacco, Tobacco, Mustard Tree","Nicotiana glauca","Solanaceae","Tytoń siny"
Nightshade,"Deadly Nightshade, Black Nightshade","Solanum spp","Solanaceae","Psianka"
Octopus Tree,"Schefflera, Umbrella Tree, Australian Ivy Palm, Starleaf","Schefflera or Brassia actinoplylla","Araliaceae","Szeflera (Drzewo ośmiornicy)"
Oilcloth Flower,"Flamingo Plant, Flamingo Lily, Tail Flower, Pigtail Plant, Flamingo Flower, Painter's Pallet","Anthurium scherzeranum","Araceae","Anturium Scherzera"
Oleander,"Rose-Bay","Nerium oleander","Apocynaceae","Oleander pospolity"
Onion,"","Allium cepa","Liliaceae","Cebula zwyczajna"
Orange,"","Citrus sinensis","Rutaceae","Pomarańcza słodka"
Orange Day Lily,"","Hemerocallis graminea","Liliaceae","Liliowiec rdzawy"
Oregano,"Greek Oregano","Origanum vulgare hirtum","Lamiaceae","Lebiodka pospolita (Oregano)"
Oregon Holly,"English Holly, European Holly, Inkberry, American Holly, Winterberry","Ilex opaca","Aquifoliaceae","Ostrokrzew (Mahonia)"
Ornamental Pepper,"Natal Cherry, Winter Cherry, Jerusalem Cherry","Solanum pseudocapsicum","Solanaceae","Psianka pieprzowa (Wiśnia jerozolimska)"
Pacific Yew,"English Yew, Western Yew, Japanese Yew, Anglo-Japanese Yew","Taxus brevifolia","Taxaceae","Cis krótkolistny"
Painter's Pallette,"Flamingo Plant, Flamingo Lily, Tail Flower, Oilcloth Flower, Pigtail Plant, Flamingo Flower","Anthurium scherzeranum","Araceae","Anturium Scherzera"
Palm Lily,"Giant Dracaena, Grass palm","Cordyline australis","Agavaceae","Kordylina australijska"
Panda Plant,"Horsehead Philodendron, Cordatum, Heartleaf Philodendron, Panda Plant, Split Leaf Philodendron, Fruit Salad Plant, Red Emerald, Red Princess, Saddle Leaf , Fiddle-leaf","Philodendron bipennifolium","Araceae","Filodendron dwuskrzydłolistny"
Paper White,"Daffodil, Jonquil, Narcissus","Narcissus spp","Amaryllidaceae","Narcyz (Biały papierowy)"
Paraguayan Jasmine,"Yesterday, Today, Tomorrow, Lady-of-the-Night, Morning-Noon-and-Night, Kiss-Me-Quick , Fransiscan Rain Tree","Brunfelsia species","Solanaceae","Brunfelsja"
Parsley,"Italian Parsley, Hamburg Parsley, Turnip-rooted Parsley","Petroselinum crispum","Apiaceae","Pietruszka zwyczajna"
Peace Begonia,"","Begonia rex 'peace'","Begoniaceae","Begonia królewska 'Peace'"
Peace Lily,"Mauna Loa Peace Lily","Spathiphyllum","Araceae","Skrzydłokwiat"
Peach,"Similar plants: Plum, Apricot, Cherry","Prunus persica","Rosaceae","Brzoskwinia zwyczajna"
Peacock Flower,"Barbados Pride, Dwarf Poinciana","Caesalpinia pulcherrima","Fabaceae","Brezylka nadobna (Pawí kwiat)"
Pencil Cactus,"Sticks of Fire","Euphorbia tirucalli","Euphorbiaceae","Wilczomlecz palczasty (Ołówkowiec)"
Peony,"","Paeonis officinalis","Paeniaceae","Piwonia lekarska"
Periwinkle,"Running Myrtle. Vinca","Vinca rosea","Apocynaceae","Barwinek różowy"
Philodendron Pertusum,"","Philodendron spp","Araceae","Filodendron"
Pie Plant,"Rhubarb","Rheum rhabarbarium","Polygonaceae","Rabarbar ogrodowy"
Pieris,"Lily-of-the-Valley Bush, Andromeda Japonica, Fetterbush","Pieris japonica","Ericaceae","Pieris japoński"
Pig Lily,"Calla Lily, Arum Lily, White Arum, Trumpet Lily, Florist's Calla, Garden Calla","Zantedeschia aethiopica","Araceae","Kalla etiopska (Cantedeskia etiopska)"
Pigtail Plant,"Flamingo Plant, Flamingo Lily, Tail Flower, Oilcloth Flower, Painter's Pallet, Flamingo Flower","Anthurium scherzeranum","Araceae","Anturium Scherzera"
Pink Pearl,"","Begonia semperflorens cultivar","Begoniaceae","Begonia stale kwitnąca 'Pink Pearl'"
Pinks,"Carnation, Wild Carnation, Sweet William","Dianthus caryophyllus","Caryophyllaceae","Goździk ogrodowy"
Plantain Lily,"Hosta","Hosta plantaginea","Liliaceae","Funkia (Hosta)"
Plum,"similar plants: apricot, peach, cherry","Prunus domestica","Rosaceae","Śliwa domowa"
Plumosa Fern,"Asparagus, Emerald Feather, Emerald Fern, Sprengeri Fern, Asparagus Fern, Lace Fern, Racemose Asparagus, Shatavari","Asparagus densiflorus cv sprengeri","Liliaceae","Asparagus Sprengera (Szparag Sprengera)"
Poinciana,"Peacock Flower, Bird of Paradise, Barbados Pride, Pride of Barbados","Caesalpinia gilliessi","Leguminosae","Brezylka Gilliesa"
Poinsettia,"","Euphorbia pulcherrima","Euphorbiaceae","Poinsecja (Gwiazda betlejemska)"
Poison Daisy,"Mayweed, Stinking Chamomile","Anthemis cotula","Asteraceae","Rumian polny (Maruna bezwonna)"
Poison Hemlock,"Poison Parsley, Spotted Hemlock, Winter Fern, California Fern, Nebraska Fern, Deadly Hemlock","Conium maculatum","Umbelliferae","Szczwół plamisty"
Poison Parsnip,"water hemlock, cowbane","Cicuta maculata","Apiaceae","Szalej jadowity"
Portulaca,"Wild Portulaca, Rock Moss, Purslane, Pigwee, Pusley, Moss Rose","Portulaca oleracea","Portulacaceae","Portulaka pospolita"
Pride-of-India,"China Ball Tree, Paradise Tree, Persian Lilac, White Cedar, Japanese Bead Tree, Texas Umbrella Tree, Bead Tree, Chinaberry Tree","Melia azedarach","Meliaceae","Miodla pospolita"
Primrose,"","Primula vulgaris","Primulaceae","Pierwiosnek"
Privet,"amur, wax-leaf, common privet","Ligustrum japonicum","Oleaceae","Ligustr japoński"
Purslane,"Wild Portulaca, Rock Moss, Portulaca, Pigwee, Pusley, Moss Rose","Portulaca oleracea","Portulacaceae","Portulaka pospolita"
Racemose asparagus,"Asparagus, Emerald Feather, Emerald Fern, Sprengeri Fern, Plumosa Fern, Lace Fern, Asparagus Fern, Shatavari","Asparagus densiflorus cv sprengeri","Liliaceae","Asparagus Sprengera (Szparag Sprengera)"
Ragwort,"Golden Ragwort, Tansy","Senecio species","Compositae","Starzec (Jakubek)"
Ranger's Button,"White Heads","Sphenosciadium capitellatum","Apiaceae","Sfenosciadium główkowate"
Red Emerald,"Horsehead Philodendron, Cordatum, Heartleaf Philodendron, Panda Plant, Split Leaf Philodendron, Fruit Salad Plant, Fiddle Leaf, Red Princess, Saddle Leaf","Philodendron bipennifolium","Araceae","Filodendron 'Red Emerald'"
Red Lily,"","Lilium umbellatum","Liliaceae","Lilia bulwkowata"
Red Princess,"Horsehead Philodendron, Cordatum, Heartleaf Philodendron, Panda Plant, Split Leaf Philodendron, Fruit Salad Plant, Fiddle Leaf, Red Emerald, Saddle Leaf","Philodendron bipennifolium","Araceae","Filodendron 'Red Princess'"
Red-Marginated Dracaena,"straight-marginated dracaena","Dracaena marginata","Agavaceae","Dracena obrzeżona"
Rex Begonia,"","Begonia rex","Begoniaceae","Begonia królewska"
Rhododendron,"Rosebay, Azalea","Rhododendron spp","Ericaceae","Różanecznik (Rododendron)"
Rhubarb,"Pie Plant","Rheum rhabarbarium","Polygonaceae","Rabarbar ogrodowy"
Ribbon Plant,"Corn Plant, Cornstalk Plant, Dracaena, Dragon Tree","Dracaena spp.","Agavaceae","Dracena (Wstążkowa roślina)"
Ridderstjerne,"Amaryllis, Fire Lily, Lily of the Palace, Barbados Lily","Hippeastrum spp.","Amaryllidaceae","Zwartnica"
Rock Moss,"Wild Portulaca, Moss Rose, Purslane, Pigwee, Pusley","Portulaca oleracea","Portulacaceae","Portulaka pospolita"
Roman Chamomile,"Chamomile, Garden Chamomile, Ground Apple","Anthemis nobilis","Asteraceae","Rumian rzymski (Rumian szlachetny)"
Rosary Pea,"","Abrus precatorius","Fabaceae","Modligroszek różańcowy (Abrus)"
Rosebay,"Rhododendron, Azalea","Rhododendron spp","Ericaceae","Różanecznik (Azalia)"
Rubrum Lily,"","Lilium speciosum","Liliaceae","Lilia wspaniała 'Rubrum'"
Running Myrtle,"Periwinkle, Vinca","Vinca rosea","Apocynaceae","Barwinek różowy"
Sabi Star,"Desert Azalea, Mock Azalea, Desert Rose, Impala Lily, Kudu Lily","Adenium obesum","Apocynaceae","Adenium opasłe (Róża pustyni)"
Sacred Bamboo,"Heavenly Bamboo, Nandina","Nandina domestica","Berberidaceae","Nandina domowa"
Saddle Leaf,"Horsehead Philodendron, Cordatum, Heartleaf Philodendron, Panda Plant, Split Leaf Philodendron, Fruit Salad Plant, Red Emerald, Red Princess, Fiddle Leaf","Philodendron bipennifolium","Araceae","Filodendron dwuskrzydłolistny"
Sago Palm,"Coontie Palm, Cardboard Palm, cycads and zamias","Cycas revoluta, zamia species","Cycadaceae","Sagowiec odwinięty (Palma sagowa)"
Satin Pothos,"Silk Pothos","Scindapsus pictus","Araceae","Scindapsus piktus"
Scented Geranium,"Geraniums","Pelargonium sp.","Geranilea","Pelargonia pachnąca"
Schefflera,"Umbrella Tree, Australian Ivy Palm, Octopus Tree, Starleaf","Schefflera","Araliaceae","Szeflera"
Seaside Daisy,"Showy Daisy, Horseweed, Fleabane","Erigeron speciosus","Asteraceae","Przymiotno nadmorskie"
Seven Bark,"Hydrangea, Hortensia, Hills of Snow","Hydrangea arborescens","Hydrangeaceae","Hortensja drzewiasta"
Shamrock Plant,"Good Luck Plant, Sorrel","Oxalis spp.","Oxalidaceae","Szczawik (Koniczynka szczęścia)"
Shatavari,"Asparagus, Emerald Feather, Emerald Fern, Sprengeri Fern, Plumosa Fern, Lace Fern, Racemose Asparagus","Asparagus densiflorus cv sprengeri","Liliaceae","Szparag lekarski (Shatavari)"
Showy Daisy,"Seaside Daisy, Horseweed, Fleabane","Erigeron speciosus","Asteraceae","Przymiotno okazałe"
Silver Dollar,"Silver Jade Plant, Chinese Jade","Crassula arborescens","Crassulaceae","Grubosz drzewiasty 'Silver Dollar'"
Silver Jade Plant,"Chinese Jade, Silver Dollar","Crassula arborescens","Crassulaceae","Grubosz drzewiasty"
Skunk Cabbage,"Skunk Weed, Polecat Weed, Meadow Cabbage, Swamp Cabbage","Symplocarpus foetidus","Araceae","Tchórzyna cuchnąca (Kapusta skunksowa)"
Snake Lilly,"Iris, Flag, Water Flag","Iris species","Iridaceae","Kosaciec (Irys)"
Snake Plant,"Golden Bird's Nest, Mother-in-Law’s Tongue, Good Luck Plant","Sansevieria trifasciata","Agavaceae","Sansewieria gwinejska (Język teściowej)"
Solomon’s Lily,"Black Calla, Wild Calla, Wild Arum","Arum palestinum","Araceae","Obrazkowiec palestyński"
Sorrel,"Common Sorrel, Spinach-Dock, Narrow-leaved Dock, Garden sorrel","Rumex scutatus","Polygonaceae","Szczaw tarczolistny"
Sowbread,"Cyclamen","Cyclamen spp","Primulaceae","Cyklamen"
Spanish Thyme,"Indian Borage, Bread and Butter Plant, Coleus, East Indian Thyme, Stinging Thyme, Country Boarage; many others","Coleus ampoinicus","Labiatae","Plectranthus amboinicus (Koleus)"
Spindle Tree,"Wahoo, Burning Bush","Euonymus atropurpurea","Celastraceae","Trzmielina purpurowa"
Split Leaf Philodendron,"Horsehead Philodendron, Cordatum, Heartleaf Philodendron, Panda Plant, Fiddle-Leaf, Fruit Salad Plant, Red Emerald, Red Princess, Saddle Leaf","Philodendron bipennifolium","Araceae","Filodendron postrzępiony"
Spotted Dumb Cane,"Charming Dieffenbachia, Giant Dumb Cane, Tropic Snow, Dumbcane, Exotica, Exotica Perfection, Dieffenbachia","Dieffenbachia amoena","Araceae","Dieffenbachia powabna"
Sprengeri Fern,"Asparagus, Emerald Feather, Emerald Fern, Plumosa Fern, Lace Fern, Racemose Asparagus, Shatavari","Asparagus densiflorus cv sprengeri","Liliaceae","Asparagus Sprengera (Szparag Sprengera)"
Spring Parsley,"","Cymopterus watsonii","Apiaceae","Cymopterus Watsona"
St. John’s Wort,"Klamath Weed","Hypericum perforatum","Clusiaceae","Dziurawiec zwyczajny"
Staggerbush,"Fetterbush, Maleberry","Lyonia sp.","Ericaceae","Lyonia"
Starch Root,"Arum, Lord-and-Ladies, Adam-and-Eve, Wake Robin, Bobbins, Cuckoo Plant","Arum maculatum","Araceae","Obrazkowiec plamisty"
Stargazer Lily,"","Lilium orientalis","Liliaceae","Lilia orientalna 'Stargazer'"
Starleaf,"Schefflera, Umbrella Tree, Octopus Tree, Australian Ivy Palm","Brassaia actinophylla","Araliaceae","Szeflera parasolowata (Brasaja)"
Stinking Chamomile,"Mayweed, Poison Daisy","Anthemis cotula","Asteraceae","Rumian polny (Maruna bezwonna)"
Straight-Margined Dracaena,"red-margined dracaena","Dracaena marginata","Agavaceae","Dracena obrzeżona"
Striped Dracaena,"warneckii, janet craig plant","Dracaena deremensis","Agavaceae","Dracena Deremensis"
Superb Lily,"Glory Lily, Climbing Lily, Gloriosa Lily","Gloriosa superba","Liliaceae","Glorioza wspaniała"
Sweet Cherry,"","Prunus avium","Rosaceae","Czereśnia ptasia"
Sweet William,"Carnation, Wild Carnation, Pinks","Dianthus caryophyllus","Caryophyllaceae","Goździk brodaty"
Sweetheart Ivy,"English Ivy, Glacier Ivy, Needlepoint Ivy, Branching Ivy, California Ivy","Hedera helix","Araliaceae","Bluszcz pospolity"
Swiss Cheese Plant,"Cutleaf Philodendron, Hurricane Plant, Ceriman, Mexican Breadfruit","Monstera deliciosa","Araceae","Monstera dziurawa"
Tahitian Bridal Veil,"Gibasis Geniculata","tradescantia multiflora","Commelinaceae","Tradescantia multiflora (Welon Tahitański)"
Tail Flower,"Flamingo Plant, Flamingo Lily, Oilcloth Flower, Pigtail Plant, Painter's Pallet","Anthurium scherzeranum","Araceae","Anturium Scherzera"
Taro,"Caladium, Elephant Ears, Pai, Ape, Cape, Via, Via sori, Malanga","Caladium hortulanum","Araceae","Kaladium (Taro)"
Taro,"Caladium, Elephant's Ears, Malanga","Colocasia esculenta","Araceae","Kolokazja jadalna (Taro)"
Taro Vine,"Golden Pothos, Devil's Ivy, Devil's Vine, Ivy Arum","Epipremnum aureum","Araceae","Epipremnum złociste (Scindapsus)"
Tarragon,"French Tarragon, Estragon","Artemisia dracunculus","Asteraceae","Bylica estragon (Estragon)"
Texas Umbrella Tree,"China Ball Tree, Paradise Tree, Persian Lilac, White Cedar, Japanese Bead Tree, Bead Tree, Pride-of-India, Chinaberry Tree","Melia azedarach","Meliaceae","Miodla pospolita"
Ti-Plant,"Baby Doll Ti Plant, Hawaiian Ti Plant","Cordyline terminalis","Agavaceae","Kordylina krzewiasta (Ti)"
Tiger Lily,"","Lilium tigrinum","Liliaceae","Lilia tygrysia"
Tobacco,"Tree Tobacco, Nicotiana, Mustard Tree","Nicotiana glauca","Solanaceae","Tytoń siny"
Tomato Plant,"","Lycopersicon spp","Solanaceae","Pomidor"
Tree Philodendron,"","Philodendron selloum","Araceae","Filodendron Selloum"
Tree Tobacco,"Nicotania, Tobacco, Mustard Tree","Nicotiana glauca","Solanaceae","Tytoń siny"
Tropic Snow,"Charming Dieffenbachia, Giant Dumb Cane, Dumbcane, Exotica, Exotica Perfection, Dieffenbachia","Dieffenbachia amoena","Araceae","Dieffenbachia 'Tropic Snow'"
True Aloe,"Medicine Plant, Aloe, Barbados Aloe","Aloe barbadensis","Aloaceae","Aloes prawdziwy"
Trumpet Lily,"Calla Lily, Pig Lily, White Arum, Arum Lily, Florist's Calla, Garden Calla, Arum Lily","Zantedeschia aethiopica","Araceae","Kalla etiopska (Cantedeskia etiopska)"
Tulip,"","Tulipa spp.","Liliaceae","Tulipan"
Umbrella Leaf,"Indian Apple Root, American Mandrake, Wild Lemon, Hog Apple, Duck's Foot, Raccoonberry, American Mandrake","Podophyllum peltatum","Berberidaceae","Stopowiec tarczowaty"
Umbrella Tree,"Schefflera, Australian Ivy Palm, Octopus Tree, Starleaf","Brassaia actinophylla","Araliaceae","Szeflera parasolowata (Brasaja)"
Variable Dieffenbachia,"","Dieffenbachia picta","Araceae","Dieffenbachia nakrapiana"
Variegated Inch Plant,"Speedy Henry","Tradescantia flumeninsis","Commelinaceae","Trzykrotka fluminensis (pstrolistna)"
Variegated Laurel,"speedy henry","Tradescantia flumeninsis","Commelinaceae","Trzykrotka fluminensis"
Variegated Philodendron,"","Scindapsus, Philodendron spp","Araceae","Filodendron pstrokaty"
Vinca,"Periwinkle, Running Myrtle","Vinca rosea","Apocynaceae","Barwinek różowy"
Virgin's Bower,"Clematis, Leatherflower","Clematis sp.","Ranunculaceae","Powojnik"
Wahoo,"Burning Bush, Spindle Tree","Euonymus occidentalis","Celastraceae","Trzmielina zachodnia"
Wake Robin,"Arum, Lord-and-Ladies, Adam-and-Eve, Starch Root, Bobbins, Cuckoo Plant","Arum maculatum","Araceae","Obrazkowiec plamisty"
Warneckei Dracaena,"Striped Dracaena, Janet Craig Plant","Dracaena deremensis","Asparagaceae","Dracena Deremensis 'Warneckei'"
Water Flag,"Iris, Snake Lily, Flag","Iris species","Iridaceae","Kosaciec (Irys)"
Water Hemlock,"cowbane, poison parsnip","Cicuta maculata","Apiaceae","Szalej jadowity"
Wax-Leaf,"privet, amur, common privet","Ligustrum japonicum","Oleaceae","Ligustr japoński"
Weeping Fig,"fig, indian rubber plant","Ficus sp.","Moraceae","Figowiec benjamina (Fikus płaczący)"
Western Yew,"English Yew, Pacific Yew, Japanese Yew, Anglo-Japanese Yew","Taxus brevifolia","Taxaceae","Cis krótkolistny"
White Heads,"Ranger's Button","Sphenosciadium capitellatum","Apiaceae","Sfenosciadium główkowate"
Wild Arum,"Black Calla, Wild Calla, Solomon's Lily","Arum palestinum","Araceae","Obrazkowiec palestyński"
Wild Calla,"Black Calla, Wild Arum, Solomon's Lily","Arum palestinum","Araceae","Obrazkowiec palestyński"
Wild Carnation,"Carnation, Sweet William, Pinks","Dianthus caryophyllus","Caryophyllaceae","Goździk polny"
Wild Coffee,"Geranium-Leaf Aralia, Coffee Tree","Polyscias guilfoylei","Araliaceae","Polyscias guilfoylei (Aralia)"
Winter Cherry,"Natal Cherry, Jerusalem Cherry","Solanum pseudocapsicum","Solanaceae","Psianka pieprzowa (Wiśnia jerozolimska)"
Winterberry,"English Holly, European Holly, Oregon Holly, Inkberry, American Holly","Ilex opaca","Aquifoliaceae","Ostrokrzew (Zimokwiat)"
Wisteria,"","Wisteria spp.","Fabaceae","Glicynia (Wisteria)"
Wood Lily,"","Lilium umbellatum","Liliaceae","Lilia bulwkowata"
Yarrow,"Milfoil, Soilder's Woundwort, Dog Daisy Thousand Seal, Devil's Nettle, Old Man's Pepper","Achillea millefolium","Asteraceae","Krwawnik pospolity"
Yellow Oleander,"","Thevetia peruviana","Apocynaceae","Tewecja peruwiańska (Żółty oleander)"
"Yesterday, Today, Tomorrow","Morning-Noon-and-Night, Kiss-Me-Quick, Lady-of-the-Night, Fransiscan Rain Tree, Brunfelsia","Brunfelsia species","Solanaceae","Brunfelsja"
Yew,"japanese yew","Taxus spp.","Taxaceae","Cis"
Yew Pine,"buddhist pine","Podocarpus macrophylla","Podocarpacaea","Podokarp wielkolistny"
Yucca,"","Yucca spp.","Agavaceae","Jukka"
